barcode,item_name,product_name,brand,category,quantity,unit,container_type,storage_area,source,source_url,match_score,search_term
00970662,cheese sandwich crackers,Mini Cheese Sandwich Crackers,Trader Joe's,Snack,1,item,bag/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/00970662,125,cheese sandwich crackers
0011110800862,cherry pie filling,"Kroger, extra cherry pie filling, cherry",Kroger,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0011110800862,125,cherry pie filling
0024463061040,chili garlic sauce,CHILI GARLIC SAUCE,"HUY FONG FOODS, INC.",Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0024463061040,125,chili garlic sauce
0051000059772,cream of chicken soup,Cream of Chicken Soup,Campbell's,Canned Goods,1,can,can/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0051000059772,125,cream of chicken soup
0747599317767,dark chocolate squares,Holiday Impressions Milk & Dark Chocolate Squares,Ghirardelli Chocolate Company,Snack,1,item,bag/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0747599317767,125,dark chocolate squares
0037600132831,deli roast beef,deli ROAST BEEF,Hormel NATURAL CHOICE,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0037600132831,125,deli roast beef
0041415024427,dry black beans,Dry black beans,Publix,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0041415024427,125,dry black beans
0074699010251,egg roll wrappers,EGG ROLL WRAPPERS,Twin Dragon,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0074699010251,125,egg roll wrappers
0085239002100,frozen beef patties,All natural frozen beef patties,Good & Gather,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0085239002100,125,frozen beef patties
0794859100003,frozen pizza dough,Frozen Pizza Dough,Riseco's,Frozen,1,item,bag/box,freezer,Open Food Facts,https://world.openfoodfacts.org/product/0794859100003,125,frozen pizza dough
0021140029249,graham cracker crust,Graham Cracker Crust Pie,"Winn-Dixie, Winn-Dixie Stores Inc.",Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0021140029249,125,graham cracker crust
00977203,great northern beans,Organic Great Northern Beans,Trader Joe's,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/00977203,125,great northern beans
00077569,green bell peppers,"Red, Yellow & Green Bell Peppers Strips",Trader Joe's,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/00077569,125,green bell peppers
0011150083508,green enchilada sauce,Green Enchilada Sauce,Roundy's,Canned Goods,1,can,can/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0011150083508,125,green enchilada sauce
0034500632027,half and half,Half And Half Creamer,Land o lake,Dairy,1,item,carton,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0034500632027,125,half and half
0011150572378,mahi mahi fillets,Wild Caught Mahi Mahi Fillets,Roundy's,Seafood,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0011150572378,125,mahi mahi fillets
0011225126284,mashed potato flakes,Instant Mashed Potato Flakes,Valu Time,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0011225126284,125,mashed potato flakes
0085239003121,mixed fruit cups,Cherry Mixed Fruit Cups,Market Pantry,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0085239003121,125,mixed fruit cups
0078742371047,old fashioned oats,Old Fashioned Oats,Great Value,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0078742371047,125,old fashioned oats
0085239173893,plain instant oatmeal,Plain instant oatmeal,Good & Gather,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0085239173893,125,plain instant oatmeal
0041271009705,pumpkin pie spice,Pumpkin Pie Spice Coffee Creamer,International Delight,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0041271009705,125,pumpkin pie spice
0073214001040,red bell peppers,Roasted Red Bell Peppers,Mezzetta,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0073214001040,125,red bell peppers
0213409403635,shredded rotisserie chicken,shredded rotisserie chicken,Meijer,Deli/Prepared Ingredient,1,item,container,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0213409403635,125,shredded rotisserie chicken
0076829026835,thick-cut bacon,"Cloverdale, Extra Thick-Cut Bacon",Cloverdale Foods Co.,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0076829026835,125,thick-cut bacon
0021000644735,thousand island dressing,Thousand Island Dressing,Kraft,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0021000644735,125,thousand island dressing
0785357025530,whole bean coffee,Dark Roast French Roast Whole Bean Coffee,Peet's,Beverage,1,item,bottle/box,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0785357025530,125,whole bean coffee
0725342260133,whole peeled tomatoes,Whole peeled tomatoes,Muir Glen Organic,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0725342260133,125,whole peeled tomatoes
0766375074687,deli chicken salad,Deli chicken salad wrap,,Deli/Prepared Ingredient,1,item,container,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0766375074687,120,deli chicken salad
0268085007660,deli tuna salad,Deli tuna salad,,Deli/Prepared Ingredient,1,item,container,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0268085007660,120,deli tuna salad
04546207,onion soup mix,Lipton Recipe Secrets Onion Soup Mix,,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/04546207,120,onion soup mix
0028000776404,sweet tea mix,Lemon iced sweet tea mix,,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0028000776404,120,sweet tea mix
3850104003189,chicken noodle soup,Podravka Chicken Noodle Soup,Podravka,Canned Goods,1,can,can/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/3850104003189,115,chicken noodle soup
8000500406427,chocolate ice cream,Kinder Chocolate Ice Cream,Kinder,Frozen,1,item,bag/box,freezer,Open Food Facts,https://world.openfoodfacts.org/product/8000500406427,115,chocolate ice cream
5000128841566,frozen hash browns,Frozen Hash Browns,Coop,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/5000128841566,115,frozen hash browns
4056489488118,frozen mixed berries,Frozen Mixed Berries,Freshona,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/4056489488118,115,frozen mixed berries
20147433,milk chocolate chips,Breakfast Biscuits Milk & Chocolate Chips,Sondey,Snack,1,item,bag/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/20147433,115,milk chocolate chips
8853662056326,sweet chili sauce,Sweet chili sauce,flying goose brand,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/8853662056326,115,sweet chili sauce
20005238,white chocolate chips,White Chocolate Chips,Belbake,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/20005238,115,white chocolate chips
8410076472083,whole wheat tortillas,Old El Paso 8 Regular Whole Wheat Tortillas,Old el paso,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/8410076472083,115,whole wheat tortillas
00707008,Brussels sprouts,Roasted Seasoned Brussels Sprouts with Parmesan Cheese,Trader Joe's,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/00707008,110,Brussels sprouts
0817885000021,Cajun seasoning,Cajun Seasoning,Slap Ya Mama,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0817885000021,110,Cajun seasoning
0033900000856,Canadian bacon,CANADIAN BACON,JONES,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0033900000856,110,Canadian bacon
0054400000245,Dijon mustard,DIJON MUSTARD,GREY POUPON,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0054400000245,110,Dijon mustard
0048121102081,English muffins,English Muffins,Thomas,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0048121102081,110,English muffins
0804305080404,Honeycrisp apples,Explosive Flavor Honeycrisp Apples,Rainier Fruit,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0804305080404,110,Honeycrisp apples
0096619194117,Italian sausage,ITALIAN SAUSAGE AND BEEF LASAGNA,KIRKLAND Signature,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0096619194117,110,Italian sausage
0078742254685,Italian seasoning,"Great Value Italian Seasoning, 0.95 Oz",Great Value,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0078742254685,110,Italian seasoning
0021000026494,Miracle Whip,Miracle Whip Dressing,Miracle Whip,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0021000026494,110,Miracle Whip
0046100001653,Swiss cheese,Sliced Swiss Cheese,Sargento,Dairy,1,item,carton,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0046100001653,110,Swiss cheese
0033844004026,adobo seasoning,Adobo Seasoning,Badia,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0033844004026,110,adobo seasoning
0671372601050,adzuki beans,Sprouted Adzuki Beans,Bio-Bud,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0671372601050,110,adzuki beans
0036200219294,alfredo sauce,Alfredo Sauce,Bertolli,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0036200219294,110,alfredo sauce
0025638830027,almond extract,Pure Almond Extract,Nielsen-Massey,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0025638830027,110,almond extract
0856069005957,almond flour,Almond Flour Crackers - Fine Ground Sea Salt,Simple Mills,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0856069005957,110,almond flour
00909945,animal crackers,Organic Animal Crackers,Trader Joe's,Snack,1,item,bag/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/00909945,110,animal crackers
0037323002022,apple butter,APPLE BUTTER,MUSSELMAN'S,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0037323002022,110,apple butter
0033383666020,baby carrots,Baby Carrots,Grimmway Farms,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0033383666020,110,baby carrots
0032601901509,baby spinach,Organic Baby Spinach,Earthbound Farm,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0032601901509,110,baby spinach
0717887651903,bagel chips,Organic Everything Bagel Chips,Schwartz Brothers Bakery,Snack,1,item,bag/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0717887651903,110,bagel chips
0856069005513,baking mix,Almond Flour Baking Mix Brownie,Simple Mills,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0856069005513,110,baking mix
0033200011101,baking soda,Pure baking soda,ARM & HAMMER,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0033200011101,110,baking soda
0043182008341,bamboo shoots,Organic Sliced Bamboo Shoots,Native Forest,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0043182008341,110,bamboo shoots
0194346135707,bay scallops,Bay scallops,Market side,Seafood,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0194346135707,110,bay scallops
0028400000789,bean dip,Bean Dip,Fritos,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0028400000789,110,bean dip
0096619212989,beef patties,100% Grass-Fed Beef Patties,Kirkland,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0096619212989,110,beef patties
00427920,black beans,black beans in water,Sainsbury's,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/00427920,110,black beans
0815063020137,bok choy,micro bok choy,AEROFARMS,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0815063020137,110,bok choy
0052603056076,bone broth,Organic Bone Broth Chicken Unsalted,Pacific Foods,Canned Goods,1,can,can/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0052603056076,110,bone broth
00161886,boneless chicken breast,Grilled Rosemary Boneless Chicken Breast with a Seasoned Brown & Wild Rice Blend,Trader Joe's,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/00161886,110,boneless chicken breast
0029243000134,bowtie pasta,"La Moderna, Bowtie Pasta, Macaroni Product",Productos Alimenticios La Moderna S.A. De C.V.,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0029243000134,110,bowtie pasta
00030823,broccoli crowns,Fresh Broccoli Crowns,Fresh Broccoli & Cauliflower,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/00030823,110,broccoli crowns
0041460398290,brown gravy,Brown Gravy Mix,Pioneer,Canned Goods,1,can,can/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0041460398290,110,brown gravy
0748404287947,brown rice,Organic Quinoa & Brown Rice with Garlic,Seeds of Change,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0748404287947,110,brown rice
0030000064412,brown sugar,Oatmeal Squares Brown Sugar,Quaker,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0030000064412,110,brown sugar
0041449301976,brownie mix,Premium Brownie Mix Dark Chocolate,Ghirardelli,Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0041449301976,110,brownie mix
0052603041805,butternut squash,Organic Butternut Squash Soup,Pacific Foods,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0052603041805,110,butternut squash
0070253294013,butterscotch chips,Butterscotch chips,Our Family,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0070253294013,110,butterscotch chips
0044800001423,cane sugar,Turbinado Cane Sugar,Sugar In The Raw,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0044800001423,110,cane sugar
0034500151191,canola oil,Butter with Canola Oil,Land O Lakes,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0034500151191,110,canola oil
0078742154558,caraway seed,Caraway seed,Great Value,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0078742154558,110,caraway seed
0078742154497,celery seed,organic great value celery seed,Great Value,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0078742154497,110,celery seed
0072745804892,chicken tenders,Chicken Tenders,Perdue,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0072745804892,110,chicken tenders
03431209,chocolate syrup,Chocolate Syrup,Hershey's,Beverage,1,item,bottle/box,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/03431209,110,chocolate syrup
01482338,cinnamon applesauce,Cinnamon Applesauce,Mott's,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/01482338,110,cinnamon applesauce
0090478230634,club soda,"Mineragua, Jarritos, Club Soda",Jarritos Inc.,Beverage,1,item,bottle/box,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0090478230634,110,club soda
0039978035813,coconut flakes,Coconut Flakes,Bob's Red Mill,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0039978035813,110,coconut flakes
0898999010007,coconut water,Coconut Water,Vita Coco,Beverage,1,item,bottle/box,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0898999010007,110,coconut water
0859922007396,coffee creamer,French Vanilla Coffee Creamer,nut pods,Dairy,1,item,carton,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0859922007396,110,coffee creamer
8000070053571,coffee pods,Espresso maestro Lungo Coffee Pods,"LavAzza - Luigi Lavazza S.p.A., Lavazza",Beverage,1,item,bottle/box,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/8000070053571,110,coffee pods
0036406304756,coleslaw mix,Coleslaw Mix,"Bread & Circus Inc., Whole Foods Market",Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0036406304756,110,coleslaw mix
0761720051108,corn syrup,Light Corn Syrup with Real Vanilla,Karo,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0761720051108,110,corn syrup
0037600260305,deli ham,Honey deli Ham,Hormel Natural Choice,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0037600260305,110,deli ham
0054100018304,dill relish,Dill Relish,vlasic,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0054100018304,110,dill relish
0011110713667,dill weed,Dill weed,Private Selection,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0011110713667,110,dill weed
0096619615223,dried blueberries,Whole dried blueberries,Kirkland signature,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0096619615223,110,dried blueberries
0842515010354,dried figs,Organic Sun-dried Figs,Sunny Fruit,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0842515010354,110,dried figs
0015100000072,elbow macaroni,Elbow Macaroni,"Creamette, Nwpc",Grain,1,item,bag/box,pantry/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0015100000072,110,elbow macaroni
0853218000078,electrolyte drink,Daily Electrolyte Drink Mix,Ultima Replenisher,Beverage,1,item,bottle/box,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0853218000078,110,electrolyte drink
0050000010110,evaporated milk,Evaporated Milk / Leche Evaporada,Carnation,Dairy,1,item,carton,refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0050000010110,110,evaporated milk
0046000288734,fajita seasoning,FAJITA SEASONING MIX,OLD EL PASO,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0046000288734,110,fajita seasoning
0011110913425,firm tofu,EXTRA FIRM TOFU,simple truth,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0011110913425,110,firm tofu
0011110962447,flounder fillets,Wild caught boneless & skinless flounder fillets,Kroger,Seafood,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0011110962447,110,flounder fillets
20067267,frosted flakes,Frosted Flakes,Crownfield,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/20067267,110,frosted flakes
0041303011942,frozen peaches,Sliced frozen peaches,Essential Everyday,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0041303011942,110,frozen peaches
0663701270648,goat meat,Australian Goat meat,Swift,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0663701270648,110,goat meat
0041143151600,golden raisins,Golden Raisins,Sun-Maid,Fruit,1,item,bag/can,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0041143151600,110,golden raisins
0674526770534,grape tomatoes,Concerto Grape Tomatoes,Windset Farms,Vegetable,1,item,bag/can,pantry/refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0674526770534,110,grape tomatoes
0072745063695,ground chicken,GROUND CHICKEN,Perdue,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0072745063695,110,ground chicken
4099100216844,ground lamb,GROUND LAMB,NEVER ANY!,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/4099100216844,110,ground lamb
4099100137811,ground pork,Ground Pork 80% lean 20% fat,Never Any!,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/4099100137811,110,ground pork
0042222130202,ground turkey,93% Lean 7% Fat Ground Turkey,Jennie-O,Protein,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0042222130202,110,ground turkey
0096619066254,hemp seeds,Organic Hemp Hearts Shelled Hemp Seeds,Kirkland,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0096619066254,110,hemp seeds
0742812700616,hoisin sauce,Hoisin Sauce,Lee Kum Kee,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0742812700616,110,hoisin sauce
0077975093740,honey mustard,Pretzel Sticks Honey Mustard & Onion,Snyder's of Hanover,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0077975093740,110,honey mustard
0097339000054,hot sauce,Mexican hot sauce,Valentina,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0097339000054,110,hot sauce
0075720481279,light mayonnaise,Light Mayonnaise,Hellmann's,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0075720481279,110,light mayonnaise
0078742329901,lobster tails,Cold water lobster tails,Sam's Choice,Seafood,1,pack,pack,refrigerator/freezer,Open Food Facts,https://world.openfoodfacts.org/product/0078742329901,110,lobster tails
0011110020598,maple extract,Imitation Maple Extract,Kroger,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0011110020598,110,maple extract
0096619885718,mixed nuts,UNSALTED MIXED NUTS,KIRKLAND signature,Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0096619885718,110,mixed nuts
4061464699670,mushroom gravy,Sirloin Steak Tips With Mushroom Gravy,Park Street Deli,Canned Goods,1,can,can/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/4061464699670,110,mushroom gravy
0074305066054,nutritional yeast,Nutritional Yeast,Bragg,Protein,1,can,can,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0074305066054,110,nutritional yeast
0052100006475,onion powder,Onion Powder,McCormick,Spice/Baking,1,item,bottle/box,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0052100006475,110,onion powder
0043647440013,orange marmalade,Orange Marmalade Fine Cut,"Tiptree, Wilkin sons ltd",Breakfast,1,item,box/jar,pantry,Open Food Facts,https://world.openfoodfacts.org/product/0043647440013,110,orange marmalade
0075050006166,peanut sauce,Bangkok Peanut Sauce,HOUSE OF Tsang,Condiment,1,item,bottle/jar,pantry/refrigerator,Open Food Facts,https://world.openfoodfacts.org/product/0075050006166,110,peanut sauce
