recipe_name,clean_recipe_name,meal_type,cuisine_type,dish_type,ingredients,main_ingredients,calories,protein,carbs,fat,servings,url,everyday_fit_score
Goodbye-To-The-Thanksgiving-Turkey Soup,Goodbye To The Thanksgiving Turkey Soup,"[""lunch/dinner""]","[""american""]","[""soup"",""special occasions""]","[{'food': 'celery', 'text': '1 Stalk celery ; sliced', 'weight': 40, 'measure': 'stalk', 'quantity': 1}, {'food': 'Dried thyme', 'text': '1/8 ts Dried thyme', 'weight': 0.125, 'measure': 'teaspoon', 'quantity': 0.125}, {'food': 'turkey carcass', 'text': 'Meaty turkey carcass and large bones', 'weight': 0, 'measure': None, 'quantity': 0}, {'food': 'Frozen peas', 'text': '1/2 c Frozen peas ; thawed', 'weight': 67, 'measure': 'cup', 'quantity': 0.5}, {'food': 'Chicken broth', 'text': '2 c Chicken broth ; if needed', 'weight': 480, 'measure': 'cup', 'quantity': 2}, {'food': 'Carrots', 'text': '2 Carrots ; thinly sliced', 'weight': 122, 'measure': '<unit>', 'quantity': 2}, {'food': 'Bay leaf', 'text': '1 Bay leaf', 'weight': 0.6, 'measure': '<unit>', 'quantity': 1}, {'food': 'Parsley', 'text': '2 sprigs Parsley', 'weight': 2, 'measure': 'sprig', 'quantity': 2}, {'food': 'Salt', 'text': '1 ts Salt', 'weight': 6, 'measure': 'teaspoon', 'quantity': 1}, {'food': 'Celery', 'text': '1/2 c Celery ; thinly sliced', 'weight': 50.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'Water', 'text': '9 c Water', 'weight': 2129.2941285, 'measure': 'cup', 'quantity': 9}, {'food': 'pasta', 'text': '1/2 c Shell pasta', 'weight': 52.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'Onion', 'text': '1 Onion ; cut in eighths', 'weight': 125, 'measure': '<unit>', 'quantity': 1}, {'food': 'Ground nutmeg', 'text': '1/8 ts Ground nutmeg', 'weight': 0.275, 'measure': 'teaspoon', 'quantity': 0.125}, {'food': 'Peppercorns', 'text': '1/2 ts Peppercorns ; whole', 'weight': 1.45, 'measure': 'teaspoon', 'quantity': 0.5}]","['celery', 'turkey carcass', 'peas', 'chicken broth', 'carrots', 'pasta', 'onion', 'peppercorns']",539.88,25.84,93.04,7.61,6.0,https://www.bigoven.com/recipe/goodbye-to-the-thanksgiving-turkey-soup/91879,110
Spicy Black Eyed Pea Burgers,Spicy Black Eyed Pea Burgers,"[""lunch/dinner""]","[""south american""]","[""main course""]","[{'food': 'jalapeno pepper', 'text': '1 jalapeno pepper', 'weight': 14, 'measure': '<unit>', 'quantity': 1}, {'food': 'onion', 'text': '1/4 onion', 'weight': 31.25, 'measure': '<unit>', 'quantity': 0.25}, {'food': 'garlic', 'text': '1 clove garlic', 'weight': 3, 'measure': 'clove', 'quantity': 1}, {'food': 'rice', 'text': '1 cup old world pilaf mix or 1/2 cup uncooked rice and 1/2 cup beans', 'weight': 195, 'measure': 'cup', 'quantity': 1}, {'food': 'beans', 'text': '1 cup old world pilaf mix or 1/2 cup uncooked rice and 1/2 cup beans', 'weight': 101, 'measure': 'cup', 'quantity': 0.5}, {'food': 'seasoning', 'text': '1/2 tsp adobo seasoning', 'weight': 0.75, 'measure': 'teaspoon', 'quantity': 0.5}, {'food': 'kosher salt', 'text': '1/4 tsp kosher salt', 'weight': 1.213541666728219, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'egg', 'text': '1 egg', 'weight': 43, 'measure': '<unit>', 'quantity': 1}, {'food': 'whole wheat flour', 'text': '2 Tbsp stone ground whole wheat flour plus more for dredging', 'weight': 14.9999999997464, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'olive oil', 'text': '3 Tbsp olive oil', 'weight': 40.5, 'measure': 'tablespoon', 'quantity': 3}, {'food': 'cheddar cheese', 'text': '1/2 cup freshly grated cheddar cheese optional', 'weight': 66, 'measure': 'cup', 'quantity': 0.5}]","['jalapeno pepper', 'onion', 'garlic', 'rice', 'beans', 'egg', 'wheat flour', 'cheddar cheese']",1798.15,59.77,234.19,69.09,8.0,http://www.prettylittleapron.com/spicy-black-eyed-pea-burgers-morningstar-alternative/,110
Creamy Veg Pasta,Creamy Veg Pasta,"[""lunch/dinner""]","[""italian""]","[""main course""]","[{'food': 'olive oil', 'text': '* 2 tablespoons olive oil', 'weight': 27, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'broccoli', 'text': '* 1/2 large bunch broccoli, finely chopped', 'weight': 380, 'measure': 'bunch', 'quantity': 0.5}, {'food': 'shallots', 'text': '* 2 medium shallots, minced', 'weight': 120, 'measure': '<unit>', 'quantity': 2}, {'food': 'carrots', 'text': '* 1 cup shredded carrots', 'weight': 122, 'measure': 'cup', 'quantity': 1}, {'food': 'kosher salt', 'text': '* 1/4 teaspoon kosher salt', 'weight': 1.213541666728219, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'marinara sauce', 'text': '* 1 jar (24 ounces) marinara sauce', 'weight': 680.388555, 'measure': 'ounce', 'quantity': 24}, {'food': 'pasta', 'text': '* 8 ounces whole wheat spiral pasta', 'weight': 226.796185, 'measure': 'ounce', 'quantity': 8}, {'food': 'water', 'text': '* 2-1/2 cups water, plus additional if needed', 'weight': 591.47059125, 'measure': 'cup', 'quantity': 2.5}, {'food': 'green peas', 'text': '* 1/2 cup frozen green peas', 'weight': 72.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'half-and-half', 'text': '* 1/4 cup half-and-half', 'weight': 60.5, 'measure': 'cup', 'quantity': 0.25}, {'food': 'red pepper flakes', 'text': '* Pinch of red pepper flakes', 'weight': 0.04817708339442312, 'measure': 'pinch', 'quantity': 1}, {'food': 'Parmesan cheese', 'text': '* Grated Parmesan cheese, for serving Chopped fresh parsley, for serving', 'weight': 5, 'measure': 'serving', 'quantity': 1}]","['broccoli', 'shallots', 'carrots', 'marinara sauce', 'pasta', 'green peas', 'half and half', 'parmesan cheese']",1843.64,61.41,290.29,51.7,8.0,https://www.hungryforever.com/recipe/creamy-veg-pasta-recipe/,110
Venison Tips and Rice,Venison Tips And Rice,"[""lunch/dinner""]","[""american""]","[""main course""]","[{'food': 'vegetable oil', 'text': '1 tablespoon vegetable oil', 'weight': 14, 'measure': 'tablespoon', 'quantity': 1}, {'food': 'stew meat', 'text': '1 pound venison stew meat', 'weight': 453.59237, 'measure': 'pound', 'quantity': 1}, {'food': 'rice', 'text': '1 (6.8 ounce) package beef flavored rice mix', 'weight': 192.7767626572424, 'measure': 'ounce', 'quantity': 6.800000190734863}, {'food': 'butter', 'text': 'butter', 'weight': 13.13294909302738, 'measure': None, 'quantity': 0}, {'food': 'water', 'text': 'water', 'weight': 9.656580215461313, 'measure': None, 'quantity': 0}, {'food': 'green bell pepper', 'text': '1 green bell pepper, seeded and sliced into strips', 'weight': 116.2888888888889, 'measure': '<unit>', 'quantity': 1}, {'food': 'red bell pepper', 'text': '1 red bell pepper, seeded and sliced into strips', 'weight': 119, 'measure': '<unit>', 'quantity': 1}, {'food': 'onion', 'text': '1 small onion, chopped', 'weight': 70, 'measure': '<unit>', 'quantity': 1}]","['stew meat', 'rice', 'butter', 'green bell pepper', 'red bell pepper', 'onion']",1583.79,113.78,172.53,48.21,4.0,https://www.allrecipes.com/recipe/83744/venison-tips-and-rice,110
Mexican Chicken Salad,Mexican Chicken Salad,"[""lunch/dinner""]","[""mexican""]","[""salad""]","[{'food': 'iceberg lettuce', 'text': '1 bag chopped romaine/iceberg lettuce', 'weight': 525, 'measure': '<unit>', 'quantity': 1}, {'food': 'chicken breasts', 'text': '2 chicken breasts', 'weight': 544, 'measure': '<unit>', 'quantity': 2}, {'food': 'olive oil', 'text': '2 tbsp olive oil', 'weight': 27, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'Salt', 'text': 'Salt & pepper', 'weight': 11.688, 'measure': None, 'quantity': 0}, {'food': 'black beans', 'text': '1 can organic black beans', 'weight': 440, 'measure': 'can', 'quantity': 1}, {'food': 'corn', 'text': '1 can corn', 'weight': 211, 'measure': 'can', 'quantity': 1}, {'food': 'avocado', 'text': '1 avocado, sliced (optional)', 'weight': 201, 'measure': '<unit>', 'quantity': 1}, {'food': 'salsa', 'text': 'Tortilla chips, fresh salsa & sour cream for topping', 'weight': 0, 'measure': 'tortilla', 'quantity': 1}]","['iceberg lettuce', 'chicken breasts', 'black beans', 'corn', 'avocado', 'salsa']",1828.35,162.51,135.95,75.39,4.0,https://www.mysanfranciscokitchen.com/mexican-chicken-salad/,110
Acapulco Eggs recipes,Acapulco Eggs Recipes,"[""breakfast""]","[""indian""]","[""main course""]","[{'food': 'unsalted butter', 'text': '2 tablespoons unsalted butter', 'weight': 28.4, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'eggs', 'text': '8 whole eggs', 'weight': 344, 'measure': '<unit>', 'quantity': 8}, {'food': 'unsweetened almond milk', 'text': '¼ cup unsweetened almond milk', 'weight': 60, 'measure': 'cup', 'quantity': 0.25}, {'food': '1% cottage cheese', 'text': '¼ cup 1% cottage cheese', 'weight': 56.5, 'measure': 'cup', 'quantity': 0.25}, {'food': 'green chiles', 'text': '4 ounces green chiles', 'weight': 113.3980925, 'measure': 'ounce', 'quantity': 4}, {'food': 'nopales', 'text': '4 ounces nopales (chopped)', 'weight': 113.3980925, 'measure': 'ounce', 'quantity': 4}, {'food': 'salt', 'text': '¼ teaspoon salt', 'weight': 1.5, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'black pepper', 'text': '¼ teaspoon black pepper', 'weight': 0.725, 'measure': 'teaspoon', 'quantity': 0.25}, {'food': 'cheddar cheese', 'text': '⅔ cup cheddar cheese', 'weight': 88, 'measure': 'cup', 'quantity': 0.6666666666666666}]","['unsalted butter', 'eggs', 'unsweetened almond milk', 'cottage cheese', 'green chiles', 'nopales', 'cheddar cheese']",1165.19,74.94,22.65,86.64,6.0,http://wonderfullymadeanddearlyloved.com/acapulco-eggs/,110
"Clafoutis, The Ultimate Dessert?","Clafoutis, The Ultimate Dessert?","[""lunch/dinner""]","[""french""]","[""desserts""]","[{'food': 'plums', 'text': '8 plums. Not too ripe.', 'weight': 528, 'measure': '<unit>', 'quantity': 8}, {'food': 'eggs', 'text': '3 large eggs', 'weight': 150, 'measure': '<unit>', 'quantity': 3}, {'food': 'cane sugar', 'text': '1/2 cup (100 gr) blond cane sugar', 'weight': 100, 'measure': 'gram', 'quantity': 100}, {'food': 'cornstarch', 'text': '1 oz (16 gr) cornstarch', 'weight': 28.349523125, 'measure': 'ounce', 'quantity': 1}, {'food': 'all purpose flour', 'text': '1 oz (16 gr) all purpose flour', 'weight': 28.349523125, 'measure': 'ounce', 'quantity': 1}, {'food': 'whole milk', 'text': '1,1 cup (250 ml) whole milk, cold', 'weight': 257.8319231015528, 'measure': 'milliliter', 'quantity': 250}, {'food': 'quark', 'text': '1/3 cup (80 ml) vanilla quark', 'weight': 76.08155107914675, 'measure': 'milliliter', 'quantity': 80}, {'food': 'ground cinnamon', 'text': 'ground cinnamon', 'weight': 3.706837561292099, 'measure': None, 'quantity': 0}, {'food': 'lime', 'text': 'zest of 1 lime', 'weight': 67, 'measure': '<unit>', 'quantity': 1}]","['plums', 'eggs', 'cane sugar', 'cornstarch', 'all purpose flour', 'milk', 'quark', 'lime']",1309.68,42.89,231.86,27.87,6.0,https://honestcooking.com/clafoutis-the-ultimate-dessert,110
A Lighter Corn Chowder,A Lighter Corn Chowder,"[""lunch/dinner""]","[""american""]","[""soup""]","[{'food': 'reduced-sodium chicken broth', 'text': '1 (14 1/2 ounce) can reduced-sodium chicken broth', 'weight': 411.0680853125, 'measure': 'ounce', 'quantity': 14.5}, {'food': 'corn', 'text': '1 (10 ounce) package frozen whole kernel corn', 'weight': 283.49523125, 'measure': 'ounce', 'quantity': 10}, {'food': 'onion', 'text': '1 cup chopped onion', 'weight': 160, 'measure': 'cup', 'quantity': 1}, {'food': 'sweet pepper', 'text': '1⁄2 cup chopped sweet pepper (try red, green, or both)', 'weight': 74.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'black pepper', 'text': '1⁄8 teaspoon black pepper', 'weight': 0.3625, 'measure': 'teaspoon', 'quantity': 0.125}, {'food': 'skim milk', 'text': '1 (12 ounce) can evaporated skim milk', 'weight': 340.1942775, 'measure': 'ounce', 'quantity': 12}, {'food': 'all-purpose flour', 'text': '1⁄4 cup all-purpose flour', 'weight': 31.25, 'measure': 'cup', 'quantity': 0.25}]","['reduced sodium chicken broth', 'corn', 'onion', 'sweet pepper', 'skim milk', 'all purpose flour']",589.68,32.18,114.59,5.14,4.0,http://www.food.com/recipe/a-lighter-corn-chowder-151228,110
Fresh Tomato Sandwiches,Fresh Tomato Sandwiches,"[""lunch/dinner""]","[""italian""]","[""sandwiches""]","[{'food': 'whole-wheat bagel', 'text': '2 whole-wheat bagel thins, split', 'weight': 98, 'measure': '<unit>', 'quantity': 2}, {'food': 'light mayonnaise', 'text': '1 tablespoon light mayonnaise', 'weight': 14.6, 'measure': 'tablespoon', 'quantity': 1}, {'food': 'mozzarella cheese', 'text': '⅓ cup part-skim shredded mozzarella cheese', 'weight': 86.625, 'measure': 'cup', 'quantity': 0.3333333333333333}, {'food': 'ricotta cheese', 'text': '¼ cup part-skim ricotta cheese', 'weight': 62, 'measure': 'cup', 'quantity': 0.25}, {'food': 'fresh dill', 'text': '1 teaspoon snipped fresh dill or 1/4 teaspoon dried dill', 'weight': 0.185416667, 'measure': 'teaspoon', 'quantity': 1}, {'food': 'roma tomatoes', 'text': '2 to 3 roma tomatoes, sliced (you can also use other varieties such as yellow, green, red, or purple heirloom tomatoes)', 'weight': 155, 'measure': '<unit>', 'quantity': 2.5}, {'food': 'red onion', 'text': '¼ cup red onion, cut into thin wedges and separated into pieces', 'weight': 40, 'measure': 'cup', 'quantity': 0.25}, {'food': 'garlic powder', 'text': 'Dash garlic powder', 'weight': 0.4041666665300017, 'measure': 'dash', 'quantity': 1}, {'food': 'Parmesan cheese', 'text': '2 teaspoons grated Parmesan cheese', 'weight': 6.19609375, 'measure': 'teaspoon', 'quantity': 2}, {'food': 'Fresh dill', 'text': '1 sprig Fresh dill', 'weight': 0.2, 'measure': 'sprig', 'quantity': 1}]","['wheat bagel', 'light mayonnaise', 'mozzarella cheese', 'ricotta cheese', 'dill', 'roma tomatoes', 'red onion', 'parmesan cheese']",731.78,37.62,65.83,35.9,2.0,http://www.eatingwell.com/recipe/267728/fresh-tomato-sandwiches/,110
Broccoli Olive Calzones,Broccoli Olive Calzones,"[""lunch/dinner""]","[""italian""]","[""main course""]","[{'food': 'vegetable oil', 'text': '2 teaspoons olive or vegetable oil', 'weight': 9.333333333964529, 'measure': 'teaspoon', 'quantity': 2}, {'food': 'onion', 'text': '1 medium onion, chopped (1/2 cup)', 'weight': 80, 'measure': 'cup', 'quantity': 0.5}, {'food': 'broccoli', 'text': '1/2 bag (16-ounce size) frozen chopped broccoli, thawed and drained', 'weight': 226.796185, 'measure': 'ounce', 'quantity': 8}, {'food': 'dried thyme', 'text': '1/2 teaspoon dried thyme leaves', 'weight': 0.5, 'measure': 'teaspoon', 'quantity': 0.5}, {'food': 'garlic salt', 'text': '1/2 teaspoon garlic salt', 'weight': 1.55, 'measure': 'teaspoon', 'quantity': 0.5}, {'food': 'water', 'text': '1/4 cup water', 'weight': 59.147059125, 'measure': 'cup', 'quantity': 0.25}, {'food': 'ripe olives', 'text': '1 can (2 1/4 ounces) sliced ripe olives, drained', 'weight': 63.78642703125, 'measure': 'ounce', 'quantity': 2.25}, {'food': 'egg', 'text': '1 egg', 'weight': 43, 'measure': '<unit>', 'quantity': 1}, {'food': 'ricotta cheese', 'text': '2/3 cup ricotta cheese', 'weight': 165.3333333333333, 'measure': 'cup', 'quantity': 0.6666666666666666}, {'food': 'provolone cheese', 'text': '2/3 cup shredded provolone cheese', 'weight': 88, 'measure': 'cup', 'quantity': 0.6666666666666666}, {'food': 'pepper', 'text': '1/2 teaspoon pepper', 'weight': 1.45, 'measure': 'teaspoon', 'quantity': 0.5}, {'food': 'dough', 'text': '2 cans (10 ounces each) refrigerated pizza crust dough', 'weight': 228, 'measure': 'pizza', 'quantity': 1}]","['onion', 'broccoli', 'ripe olives', 'egg', 'ricotta cheese', 'provolone cheese', 'dough']",1481.45,70.23,151.89,67.88,8.0,https://www.bettycrocker.com/recipes/broccoli-olive-calzones/02e25327-dc91-4c7a-9129-04b76510096d,110
Stuffed Pork Chops,Stuffed Pork Chops,"[""lunch/dinner""]","[""american""]","[""main course""]","[{'food': 'corn kernels', 'text': '2 cups corn kernels', 'weight': 282, 'measure': 'cup', 'quantity': 2}, {'food': 'bell peppers', 'text': '1/2 cup bell peppers, chopped', 'weight': 74.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'celery', 'text': '1/2 cup celery, diced', 'weight': 50.5, 'measure': 'cup', 'quantity': 0.5}, {'food': 'butter', 'text': '1 tablespoon butter', 'weight': 14.2, 'measure': 'tablespoon', 'quantity': 1}, {'food': 'pork chops', 'text': '6 pork chops (thick-cut)', 'weight': 1194, 'measure': '<unit>', 'quantity': 6}, {'food': 'cream of celery soup', 'text': '1 can (10 1/2 ounce) condensed cream of celery soup', 'weight': 297.6699928125, 'measure': 'ounce', 'quantity': 10.5}, {'food': 'all-purpose flour', 'text': '2 tablespoons all-purpose flour', 'weight': 15.625, 'measure': 'tablespoon', 'quantity': 2}]","['corn kernels', 'bell peppers', 'celery', 'butter', 'pork chops', 'cream of celery soup', 'all purpose flour']",2643.73,262.21,101.74,130.62,10.0,https://www.recipezazz.com/recipe/stuffed-pork-chops-13463,110
Pâte Sucrée (Sweet Tart Dough) Recipe,Pâte Sucrée (Sweet Tart Dough) Recipe,"[""lunch/dinner""]","[""french""]","[""desserts""]","[{'food': 'unsalted butter', 'text': '8 ounces (2 sticks; 225g) unsalted butter, soft but cool, about 65°F (18°C), cut into 1-inch-thick slices', 'weight': 227, 'measure': 'cup', 'quantity': 1}, {'food': 'granulated sugar', 'text': '6 ounces (3/4 cup; 170g) granulated sugar', 'weight': 170.09713875, 'measure': 'ounce', 'quantity': 6}, {'food': 'egg', 'text': '1 large egg (1 3/4 ounces; 50g)', 'weight': 50, 'measure': '<unit>', 'quantity': 1}, {'food': 'egg yolk', 'text': '1 large egg yolk (3/4 ounce; 20g)', 'weight': 17, 'measure': '<unit>', 'quantity': 1}, {'food': 'all-purpose flour', 'text': '15 ounces (3 cups; 425g) all-purpose flour, such as Gold Medal, plus more for dusting', 'weight': 425.242846875, 'measure': 'ounce', 'quantity': 15}, {'food': 'table salt', 'text': '2 teaspoons (8g) Diamond Crystal kosher salt; for table salt, use the same weight or half as much by volume', 'weight': 8, 'measure': 'gram', 'quantity': 8}, {'food': 'heavy cream', 'text': '1 ounce (2 tablespoons; 30g) heavy cream', 'weight': 15, 'measure': 'tablespoon', 'quantity': 1}, {'food': 'vanilla extract', 'text': '1/2 ounce (1 tablespoon; 15g) vanilla extract', 'weight': 6.5, 'measure': 'tablespoon', 'quantity': 0.5}]","['unsalted butter', 'granulated sugar', 'egg', 'egg yolk', 'all purpose flour', 'heavy cream']",4029.71,55.16,496.91,202.94,24.0,https://www.seriouseats.com/pate-sucree-tart-shell-recipe,110
Butternut Squash Risotto,Butternut Squash Risotto,"[""lunch/dinner""]","[""italian""]","[""main course""]","[{'food': 'vegetable broth', 'text': '6 cups (1.4 liters) chicken broth (use vegetable broth for vegetarian option, and gluten-free stock for gluten-free version)', 'weight': 1362, 'measure': 'cup', 'quantity': 6}, {'food': 'unsalted butter', 'text': '5 tablespoons (70 g) unsalted butter, divided', 'weight': 70, 'measure': 'gram', 'quantity': 70}, {'food': 'onion', 'text': '1 small onion, finely chopped (about 1 cup)', 'weight': 120, 'measure': 'cup', 'quantity': 1}, {'food': 'butternut squash', 'text': '2 cups (240g) butternut squash , peeled, and finely diced (1/4-1/2 inch)', 'weight': 240, 'measure': 'gram', 'quantity': 240}, {'food': 'arborio rice', 'text': '2 cups (400g) arborio rice (can substitute medium grained white rice, but arborio is preferred)', 'weight': 400, 'measure': 'gram', 'quantity': 400}, {'food': 'dry white wine', 'text': '1 cup (236 ml) dry white wine (such as Sauvignon Blanc)', 'weight': 234.6152151144674, 'measure': 'milliliter', 'quantity': 236}, {'food': 'Parmesan cheese', 'text': '3/4 cup (40g) freshly grated Parmesan cheese , divided', 'weight': 40, 'measure': 'gram', 'quantity': 40}, {'food': 'garlic chives', 'text': '2 t ablespoons chopped chives or garlic chives', 'weight': 3, 'measure': 'tablespoon', 'quantity': 1}, {'food': 'Kosher salt', 'text': 'Kosher salt', 'weight': 14.8176912906868, 'measure': None, 'quantity': 0}]","['vegetable broth', 'unsalted butter', 'onion', 'butternut squash', 'arborio rice', 'dry white wine', 'parmesan cheese', 'garlic chives']",2448.3,45.18,364.57,69.73,6.0,https://www.simplyrecipes.com/recipes/butternut_squash_risotto,110
"Penne with Radicchio, Spinach, and Bacon","Penne With Radicchio, Spinach, And Bacon","[""lunch/dinner""]","[""italian""]","[""main course""]","[{'food': 'fresh basil', 'text': '1 cup (packed) fresh basil leaves, torn in half (about 10 ounces)', 'weight': 24, 'measure': 'cup', 'quantity': 1}, {'food': 'Parmesan cheese', 'text': '1 cup freshly grated Parmesan cheese plus additional for serving', 'weight': 148.70625, 'measure': 'cup', 'quantity': 1}, {'food': 'low salt chicken broth', 'text': '1 cup low salt chicken broth', 'weight': 240, 'measure': 'cup', 'quantity': 1}, {'food': 'onion', 'text': '1 large onion, chopped (about 2 cups)', 'weight': 400, 'measure': 'cup', 'quantity': 2}, {'food': 'penne', 'text': '1 pound penne', 'weight': 453.59237, 'measure': 'pound', 'quantity': 1}, {'food': 'garlic', 'text': '1 whole head of garlic (with about 12 to 14 cloves)', 'weight': 50, 'measure': 'head', 'quantity': 1}, {'food': 'spinach', 'text': '3 cups (packed) baby spinach leaves, torn in half (about 10 ounces)', 'weight': 29.99999999999997, 'measure': 'cup', 'quantity': 3}, {'food': 'radicchio', 'text': '6 cups (packed) coarsely torn Treviso, Chioggia, or Tardivo radicchio leaves (from about 2 medium heads)', 'weight': 240, 'measure': 'cup', 'quantity': 6}, {'food': 'olive oil', 'text': '6 teaspoons olive oil, divided', 'weight': 27, 'measure': 'teaspoon', 'quantity': 6}, {'food': 'bacon', 'text': '8 ounces bacon (about 8 slices), cut crosswise into 1/3 inch wide strips', 'weight': 232, 'measure': 'slice', 'quantity': 8}]","['parmesan cheese', 'low salt chicken broth', 'onion', 'penne', 'garlic', 'spinach', 'radicchio', 'bacon']",3740.72,160.97,409.15,160.02,12.0,http://foodpair.com/recipes/penne-with-radicchio-spinach-and-bacon,110
Chicken and Rice Casserole,Chicken And Rice Casserole,"[""lunch/dinner""]","[""american""]","[""main course""]","[{'food': 'chicken breasts', 'text': '4 Boneless chicken breasts', 'weight': 1088, 'measure': '<unit>', 'quantity': 4}, {'food': 'Rice', 'text': '4 cups Rice ; cooked', 'weight': 780, 'measure': 'cup', 'quantity': 4}, {'food': 'Cream of celery soup', 'text': '1 12-oz can Cream of celery soup', 'weight': 340.1942775, 'measure': 'ounce', 'quantity': 12}, {'food': 'Cream of chicken soup', 'text': '1 12-oz can Cream of chicken soup', 'weight': 340.1942775, 'measure': 'ounce', 'quantity': 12}, {'food': 'Broccoli', 'text': '1 12-oz can Broccoli and cheese soup', 'weight': 340.1942775, 'measure': 'ounce', 'quantity': 12}, {'food': 'cheese soup', 'text': '1 12-oz can Broccoli and cheese soup', 'weight': 340.1942775, 'measure': 'ounce', 'quantity': 12}, {'food': 'cheese', 'text': '1 cup Velveeta cheese ; cubed', 'weight': 132, 'measure': 'cup', 'quantity': 1}, {'food': 'cheese', 'text': '2 cups cheese ; Shredded', 'weight': 264, 'measure': 'cup', 'quantity': 2}, {'food': 'Broccoli', 'text': '2 cups Broccoli', 'weight': 182, 'measure': 'cup', 'quantity': 2}]","['chicken breasts', 'rice', 'cream of celery soup', 'cream of chicken soup', 'broccoli', 'cheese soup', 'cheese']",6533.4,419.63,717.72,208.67,4.0,https://www.bigoven.com/recipe/chicken-and-rice-casserole/163243,110
Mushroom Crust Quiche,Mushroom Crust Quiche,"[""lunch/dinner""]","[""french""]","[""starter""]","[{'food': 'mushrooms', 'text': '1⁄2 lb fresh mushrooms, coarsely chopped', 'weight': 226.796185, 'measure': 'pound', 'quantity': 0.5}, {'food': 'butter', 'text': '2 tablespoons butter', 'weight': 28.4, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'breadcrumb', 'text': '1⁄2 cup fine dry breadcrumb', 'weight': 54, 'measure': 'cup', 'quantity': 0.5}, {'food': 'cottage cheese', 'text': '1 cup cottage cheese', 'weight': 225, 'measure': 'cup', 'quantity': 1}, {'food': 'jack cheese', 'text': '1 cup shredded monterey jack cheese', 'weight': 132, 'measure': 'cup', 'quantity': 1}, {'food': 'green onion', 'text': '1⁄2 cup green onion', 'weight': 50, 'measure': 'cup', 'quantity': 0.5}, {'food': 'eggs', 'text': '3 slightly beaten eggs', 'weight': 129, 'measure': '<unit>', 'quantity': 3}, {'food': 'salt', 'text': '1⁄4 teaspoon salt', 'weight': 1.5, 'measure': 'teaspoon', 'quantity': 0.25}]","['mushrooms', 'butter', 'breadcrumb', 'cottage cheese', 'jack cheese', 'green onion', 'eggs']",1380.15,88.97,59.39,88.7,6.0,http://www.food.com/recipe/mushroom-crust-quiche-137455,110
Easy Egg Custard Pie,Easy Egg Custard Pie,"[""lunch/dinner""]","[""american""]","[""desserts""]","[{'food': 'pie crust', 'text': '1 prepared 8 inch pie crust', 'weight': 229, 'measure': '<unit>', 'quantity': 1}, {'food': 'eggs', 'text': '4 eggs', 'weight': 172, 'measure': '<unit>', 'quantity': 4}, {'food': 'white sugar', 'text': '1 cup white sugar', 'weight': 200, 'measure': 'cup', 'quantity': 1}, {'food': 'milk', 'text': '1 cup milk', 'weight': 244, 'measure': 'cup', 'quantity': 1}, {'food': 'evaporated milk', 'text': '0.66670000553131 cup evaporated milk', 'weight': 168.0084013938904, 'measure': 'cup', 'quantity': 0.666700005531311}, {'food': 'butter', 'text': '2 tablespoons butter, melted', 'weight': 28.4, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'vanilla extract', 'text': '2 tablespoons vanilla extract', 'weight': 26, 'measure': 'tablespoon', 'quantity': 2}, {'food': 'ground cinnamon', 'text': '0.5 teaspoon ground cinnamon', 'weight': 1.3, 'measure': 'teaspoon', 'quantity': 0.5}]","['pie crust', 'eggs', 'white sugar', 'milk', 'evaporated milk', 'butter']",2694.7,47.91,351.11,118.45,8.0,https://www.allrecipes.com/recipe/15936/custard-pie-iii,110
